Pin,Name,,,,,
1,GND,,,,,
2,GND,,,,,
3,GND,,,,,
4,GND,,,,,
5,+5v,,,,,
6,+5v,,,,,
7,exp,,,,,
8,-12v,,,,,
9,exp,,,,,
10,+12v,,,,,
11,exp,,,,,
12,CONFIG,,,,,
13,GND,,,,,
14,C3,,,,,
15,CDAC,,,,,
16,C1,,,,,
17,OVR,,,,,
18,XRDY,,,,,
19,INT2,,,,,
20,PALOPE,,,,,
21,A5,,,,,
22,INT6,,,,,
23,A6,,,,,
24,A4,,,,,
25,GND,,,,,
26,A3,,,,,
27,A2,,,,,
28,A7,,,,,
29,A1,,,,,
30,A8,,,,,
31,FC0,,,,,
32,A9,,,,,
33,FC1,,,,,
34,A10,,,,,
35,FC2,,,,,
36,A11,,,,,
37,GND,,,,,
38,A12,,,,,
39,A13,,,,,
40,IPL0,,,,,
41,A14,,,,,
42,IPL1,,,,,
43,A15,,,,,
44,IPL2,,,,,
45,A16,,,,,
46,BERR,,,,,
47,A17,,,,,
48,VPA,,,,,
49,GND,,,,,
50,E,,,,,
51,VMA,,,,,
52,A18,,,,,
53,RES,,,,,
54,A19,,,,,
55,HLT,,,,,
56,A20,,,,,
57,A22,,,,,
58,A21,,,,,
59,A23,,,,,
60,BR,,,,,
61,GND,,,,,
62,BGCAK,,,,,
63,PD15,,,,,
64,BG,,,,,
65,PD14,,,,,
66,DTACK,,,,,
67,PD13,,,,,
68,PRW,,,,,
69,PD12,,,,,
70,LDS,,,,,
71,PD11,,,,,
72,UDS,,,,,
73,GND,,,,,
74,AS,,,,,
75,PD0,,,,,
76,PD10,,,,,
77,PD1,,,,,
78,PD9,,,,,
79,PD2,,,,,
80,PD8,,,,,
81,PD3,,,,,
82,PD7,,,,,
83,PD4,,,,,
84,PD6,,,,,
85,GND,,,,,
86,PD5,,,,,
,,,,,,
